File Name,Teff,spectral type,vsini,Jmag
Template_s1d_AUMIC_sc1d_v_file_AB.fits,3700,M1 Ve,8.7,5.436
Template_s1d_EPSILONERI_sc1d_v_file_AB.fits,5136,K2,2.4,2.3
Template_s1d_GJ1002_sc1d_v_file_AB.fits,2898,M5,2,8.3
Template_s1d_GJ1214_sc1d_v_file_AB.fits,3026,M4.5,2,9.7
Template_s1d_GJ1286_sc1d_v_file_AB.fits,2887,M6,5.6,9.1
Template_s1d_GJ1289_sc1d_v_file_AB.fits,3203,M5,2.5,8.1
Template_s1d_GJ9827_sc1d_v_file_AB.fits,4340,K6V,1.3,7.9
Template_s1d_GL15A_sc1d_v_file_AB.fits,3756,M1,2.9,5.2
Template_s1d_GL382_sc1d_v_file_AB.fits,3596,M2,1.3,5.9
Template_s1d_GL388_sc1d_v_file_AB.fits,3268,M3,5.8,5.4
Template_s1d_GL411_sc1d_v_file_AB.fits,3633,M2,2,4.2
Template_s1d_GL412A_sc1d_v_file_AB.fits,3683,M1,3,5.5
Template_s1d_GL436_sc1d_v_file_AB.fits,3435,M3,1,6.9
Template_s1d_GL514_sc1d_v_file_AB.fits,3616,M1,1.3,5.9
Template_s1d_GL536_sc1d_v_file_AB.fits,3685,M1V,4.7,6.5
Template_s1d_GL687_sc1d_v_file_AB.fits,3343,M3,2,5.3
Template_s1d_GL699_sc1d_v_file_AB.fits,3134,M4,0.08,5.2
Template_s1d_GL725A_sc1d_v_file_AB.fits,3460,M3,2,5.2
Template_s1d_GL725B_sc1d_v_file_AB.fits,3353,M4,4.4,5.7
Template_s1d_GL846_sc1d_v_file_AB.fits,3798,M0.5,10,6.2
Template_s1d_GL876_sc1d_v_file_AB.fits,3129,M4,5,5.9
Template_s1d_HD189733_sc1d_v_file_AB.fits,5050,K2,3.5,6.1
Template_s1d_K2-33_sc1d_v_file_AB.fits,3540,M3,8.2,11.1